code,name,account_type,reconcile
11130412,سيارات ركوب سعة السلندرات أكثر من 2000 سم 3 أو ذات المحركات الدوارة (ضريبة جدول +ضريبة قيمة مضافة),income,True
11130500,الضرائب على الخدمات الخاصة,income,False
11130501,ضرائب على تذاكر السفر للخارج ( تضامن اجتماعى ),income,True
11130502,رسم تنمية على تذاكر السفر إلى الخارج الصادرة فى مصر بالعملة المحلية,income,True
11130503,ضريبة الملاهى,income,True
11130504,الأتاوة على القمار,income,True
11130505,إيرادات غرامات وتعويضات قانون الضريبة على الدخل,income,True
11130506,مقابل التأخير فى الضرائب,income,True
11130507,اخرى متتوعة,income,True
11130600,ضرائب الدمغة (عدا دمغة الماهيات ),income,False
11130601,الدمغة على النماذج المدموغة وطوابع الدمغة,income,True
11130602,لدمغة على التأمين(القائم),income,True
11130603,الدمغة على المراهنات واليانصيب,income,True
11130604,الدمغة على أعمال البورصة,income,True
11130605,الدمغة على عقود اشتراكات المياه والنور والغاز والتليفون,income,True
11130606,الدمغة على استهلاك الغاز والكهرباء والبوتاجاز,income,True
11130607,الدمغة على الإعلانات,income,True
11130608,الدمغة على أوراق وزارة العدل,income,True
11130609,الدمغة على التصاريح والرخص الإدارية,income,True
11130610,الدمغة على بطاقات التموين,income,True
11130611,الدمغة على الشهادات والإقرارات,income,True
11130612,الدمغة على العقود وما فى حكمها,income,True
11130613,الدمغة على وثائق الأحوال الشخصية,income,True
11130614,الدمغة على وثائق الملاحة التجارية,income,True
11130615,الدمغة على محاضر الشركات,income,True
11130616,الدمغة على الأوراق التجارية,income,True
11130617,الدمغة على الإيصالات والمخالصات والفواتير,income,True
11130618,الدمغة على الأعمال والمحررات المصرفية وما فى حكمها,income,True
11130619,الدمغة على خدمات النقل,income,True
11130620,الدمغة على تأسيس الشركات,income,True
11130621,الدمغة على شهادات وكشوف الوزن,income,True
11130622,الدمغة على الموازين والأجهزة الحاسبة,income,True
11130623,دمغة متنوعة,income,True
11130700,رسم تنمية الموارد ( عدا ما يزيد على 18000 وعدا رسم التنميةعلى السيارات ),income,False
11130701,رسم تنمية على جوازات السفر,income,True
11130702,رسم تنمية على إقامة الأجانب وما يتعلق بها,income,True
11130703,رسم تنمية على طلب الحصول على الجنسية المصرية,income,True
11130704,رسم تنمية عند مغادرة أراضى الجمهورية,income,True
11130705,رسم تنمية على رخص السلاح,income,True
11130706,رسم تنمية على المحررات وباقى الأوعية الخاضعة لضريبة الدمغة النوعية,income,True
11130707,رسم تنمية على استخراج صور المحررات من مصلحة الشهر العقارى,income,True
11130708,رسم تنمية على شهادات الإعفاء من التجنيد,income,True
11130709,رسم تنمية على الشراء من الأسواق الحرة,income,True
11130710,رسم تنمية على الحفلات والخدمات الترفيهية التى تقام فى الفنادق والمحلات العامة السياحية,income,True
11130711,رسم تنمية على الشاليهات والكباين والأكشاك التى تقع فى المصايف والمشاتى أيا كان نوعها,income,True
11130712,رسم تنمية على موارد أخرى,income,True
11130713,رسم تنمية على المحاجر,income,True
11130714,رسم تنمية على خدمات المحمول,income,True
11130715,رسم تنمية على عقود شراء أو بيع أو إعارة أو تجديد أو غيرها من عقود اللاعبين الرياضيين مصرين أو أجانب وعقود الأجهزة الفنية والإدارية والمديرين الفنيين مصريين أو أجانب لأي لعبة رياضية,income,True
11130716,رسم تنمية على تراخيص شركات الخدمات الرياضية المنشأة طبقاً لقانون الرياضة,income,True
11130717,رسم تنمية على أغذية الكلاب والقطط والطيور الأليفة للزينة,income,True
11130718,رسم تنمية على منتج البنزين بأنواعه ومنتج السولار,income,True
